,peasantLeisureAffinity,peasantKind,contractor,pesticidesAvailable,initialHealth,purpose,initialMoney,tools,daysToWorkForOther,peasantFamilyLandAlias,robberyAccount,rainfallConditions,peasantFriendsAffinity,assignedLands,Happiness/Sadness,farm,timeLeftOnDay,Hopeful/Uncertainty,seeds,newDay,currentSeason,cropSize,health,currentPeasantLeisureType,internalCurrentDate,waterAvailable,loanAmountToPay,peasantFamilyMinimalVital,money,currentDay,Secure/Insecure,currentActivity,peasantFamilyAffinity,toPay,harvestedWeight,peasantFamilyHelper,nombre_agente
10,0.39421778713521827,StablePeasant,,0,96,worker,2168197,10,0,,0,normal,0.4927722339190228,[],0.97,True,24,0.8498001,985,True,,0,98,NONE,01/01/2023,1985,0,10000,1678197,330,0.8498001,NONE,0.6898811274866319,0,0,,PeasantFamily_3
11,0.43699512046557143,StablePeasant,,0,109,farmer,2403473,10,0,farm_1_small,0,normal,0.5462439005819643,"[{'farmName': 'farm_1_small', 'landName': 'land_9', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_small', 'landName': 'land_10', 'elapsedWorkTime': 24, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.8499001,1012,True,NONE,1,100,NONE,01/01/2023,982,0,10000,1086473,282,0.8499001,NONE,0.7647414608147499,0,0,,PeasantFamily_6
12,0.4212075113465689,StablePeasant,,0,105,worker,2316641,10,0,,0,normal,0.5265093891832111,[],0.9701,True,24,0.7576003,1053,True,,1,100,NONE,01/01/2023,2053,0,10000,3276641,333,0.7899002,NONE,0.7371131448564955,0,0,,PeasantFamily_9
13,0.42027476118526563,StablePeasant,,0,105,farmer,2311511,10,0,farm_3_small,0,normal,0.525343451481582,"[{'farmName': 'farm_3_small', 'landName': 'land_14', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_3_small', 'landName': 'land_15', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9699,True,24,0.78980017,990,True,NONE,1,100,NONE,01/01/2023,2050,0,10000,889511,279,0.78980017,NONE,0.7354808320742148,0,0,,PeasantFamily_2
14,0.3867685588402844,StablePeasant,,0,92,farmer,2127227,10,0,farm_4_small,0,normal,0.48346069855035545,"[{'farmName': 'farm_4_small', 'landName': 'land_5', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_small', 'landName': 'land_6', 'elapsedWorkTime': 41, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.80200076,886,True,NONE,0,96,NONE,01/01/2023,1966,0,10000,1010227,285,0.8499001,NONE,0.6768449779704976,0,0,,PeasantFamily_5
15,0.4162335149312375,StablePeasant,,0,104,worker,2289284,10,0,,0,normal,0.5202918936640468,[],0.97,True,24,0.8499001,1040,True,,1,100,NONE,01/01/2023,2040,0,10000,1709284,339,0.8499001,NONE,0.7284086511296655,0,0,,PeasantFamily_10
16,0.3724843345625366,StablePeasant,,0,86,farmer,2048663,10,0,farm_5_small,0,normal,0.4656054182031707,"[{'farmName': 'farm_5_small', 'landName': 'land_8', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_5_small', 'landName': 'land_7', 'elapsedWorkTime': 32, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.90999997,851,True,NONE,0,93,NONE,01/01/2023,1931,0,10000,980663,279,0.90999997,NONE,0.6518475854844389,0,0,,PeasantFamily_8
17,0.36386356949904153,StablePeasant,,0,81,farmer,2001249,10,0,farm_7_small,0,normal,0.45482946187380185,"[{'farmName': 'farm_7_small', 'landName': 'land_25', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_7_small', 'landName': 'land_20', 'elapsedWorkTime': 32, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.8499001,849,True,NONE,0,90,NONE,01/01/2023,1909,0,10000,937249,276,0.8499001,NONE,0.6367612466233226,0,0,,PeasantFamily_4
18,0.40989250918797393,StablePeasant,,0,102,farmer,2254408,10,0,farm_2_small,0,normal,0.5123656364849674,"[{'farmName': 'farm_2_small', 'landName': 'land_12', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_2_small', 'landName': 'land_13', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9699,True,24,0.72330046,944,True,NONE,1,100,NONE,01/01/2023,674,0,10000,1041408,282,0.78980017,NONE,0.7173118910789542,0,0,,PeasantFamily_7
19,0.43023407898476035,StablePeasant,,0,107,farmer,2366287,10,0,farm_5_small,0,normal,0.5377925987309504,"[{'farmName': 'farm_5_small', 'landName': 'land_8', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_5_small', 'landName': 'land_7', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.771901,975,True,NONE,1,100,NONE,01/01/2023,455,0,10000,1722287,273,0.90990007,NONE,0.7529096382233306,0,0,,PeasantFamily_5
