,peasantLeisureAffinity,peasantKind,contractor,pesticidesAvailable,initialHealth,purpose,initialMoney,tools,daysToWorkForOther,peasantFamilyLandAlias,robberyAccount,rainfallConditions,peasantFriendsAffinity,assignedLands,Happiness/Sadness,farm,timeLeftOnDay,Hopeful/Uncertainty,seeds,newDay,cropSize,health,currentPeasantLeisureType,internalCurrentDate,waterAvailable,loanAmountToPay,peasantFamilyMinimalVital,money,currentDay,Secure/Insecure,currentActivity,peasantFamilyAffinity,toPay,harvestedWeight,peasantFamilyHelper,nombre_agente,currentSeason
10,0.3649070062974188,StablePeasant,,0,83,farmer,2006988,10,0,farm_6_small,0,normal,0.45613375787177346,"[{'farmName': 'farm_6_small', 'landName': 'land_16', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_6_small', 'landName': 'land_17', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.96999997,True,24,0.8652984,832,True,0,91,NONE,01/01/2023,1912,0,10000,745988,288,0.9098999,NONE,0.6385872610204828,0,0,,PeasantFamily_6,NONE
11,0.4322207682094627,StablePeasant,,0,108,worker,2377214,10,0,,0,normal,0.5402759602618283,[],0.97,True,24,0.88,1080,True,1,100,NONE,01/01/2023,2080,0,10000,1737214,345,0.88,NONE,0.7563863443665596,0,0,,PeasantFamily_7,
12,0.419692520732835,StablePeasant,,0,104,farmer,2308308,10,0,farm_1_small,0,normal,0.5246156509160437,"[{'farmName': 'farm_1_small', 'landName': 'land_9', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_small', 'landName': 'land_10', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.6978996,969,True,1,100,NONE,01/01/2023,549,0,10000,1025308,285,0.78999996,NONE,0.7344619112824611,0,0,,PeasantFamily_9,NONE
13,0.39757701683641755,StablePeasant,,0,98,farmer,2186673,10,0,farm_7_small,1,normal,0.4969712710455219,"[{'farmName': 'farm_7_small', 'landName': 'land_25', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_7_small', 'landName': 'land_20', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.8478998,913,True,0,99,NONE,01/01/2023,1993,0,10000,1503673,288,0.90999997,NONE,0.6957597794637307,0,0,,PeasantFamily_2,NONE
14,0.4123368102355789,StablePeasant,,0,103,farmer,2267852,10,0,farm_5_small,0,normal,0.5154210127944736,"[{'farmName': 'farm_5_small', 'landName': 'land_8', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_5_small', 'landName': 'land_7', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.7900001,950,True,1,100,NONE,01/01/2023,950,0,10000,811852,285,0.7900001,NONE,0.721589417912263,0,0,,PeasantFamily_3,NONE
15,0.40800858483231883,StablePeasant,,0,102,worker,2244047,10,0,,0,normal,0.5100107310403985,[],0.9703,True,24,0.81999993,1020,True,1,100,NONE,01/01/2023,2020,0,10000,2174047,339,0.81999993,NONE,0.7140150234565579,0,0,,PeasantFamily_10,
16,0.43949805893664745,StablePeasant,,0,109,farmer,2417239,10,0,farm_4_small,0,normal,0.5493725736708093,"[{'farmName': 'farm_4_small', 'landName': 'land_5', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_small', 'landName': 'land_6', 'elapsedWorkTime': 25, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.96999997,True,24,0.6636991,1018,True,1,100,NONE,01/01/2023,58,0,10000,808239,288,0.78999984,NONE,0.7691216031391329,0,0,,PeasantFamily_5,NONE
17,0.3659089381409792,StablePeasant,,0,83,farmer,2012499,10,0,farm_2_small,1,normal,0.45738617267622395,"[{'farmName': 'farm_2_small', 'landName': 'land_12', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_2_small', 'landName': 'land_13', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.96999997,True,24,0.7215993,834,True,0,81,NONE,01/01/2023,1914,0,10000,929499,294,0.91,NONE,0.6403406417467135,0,0,,PeasantFamily_8,NONE
18,0.4389651777746707,StablePeasant,,0,109,farmer,2414308,10,0,farm_3_small,0,normal,0.5487064722183383,"[{'farmName': 'farm_3_small', 'landName': 'land_14', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_3_small', 'landName': 'land_15', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.78369963,1037,True,1,100,NONE,01/01/2023,2097,0,10000,869308,294,0.8499999,NONE,0.7681890611056736,0,0,,PeasantFamily_4,NONE
19,0.4313141859633701,StablePeasant,,0,107,worker,2372228,10,0,,0,normal,0.5391427324542126,[],0.96999997,True,24,0.63369924,1078,True,1,100,NONE,01/01/2023,2078,0,10000,3082228,333,0.7598998,NONE,0.7547998254358976,0,0,,PeasantFamily_1,
