date,disease,evapotranspiration,agb,cumulatedTemperature,cumulatedEvapotranspiration
08/08/2023,false,4.269629479773347,0.0,28.39344635891315,4.269629479773347
09/08/2023,false,3.8411566573529243,53.07617510357127,55.85733542490493,8.110786137126272
10/08/2023,false,3.800104708970152,107.48846167342171,83.21154782612062,11.910890846096425
11/08/2023,false,4.002548188542935,161.3107745091372,111.1698685506618,15.91343903463936
12/08/2023,false,3.6957772100629045,211.44597553548675,138.56722477499403,19.609216244702264
13/08/2023,false,3.958654851373691,256.94895215411645,166.52364026391737,23.567871096075955
14/08/2023,false,3.967441406539135,305.8423721561645,194.38541422262387,27.53531250261509
15/08/2023,false,3.4507481500071964,354.96838176862974,221.80080259194176,30.986060652622285
16/08/2023,false,3.359887110127063,401.37735253488705,249.39674326140212,34.34594776274935
17/08/2023,false,4.026766286332231,456.7750288344665,277.3248187845115,38.37271404908158
18/08/2023,false,3.9021776275448175,508.33524655964857,305.20079121625395,42.274891676626396
19/08/2023,false,3.623620027055565,563.0616743474914,333.03726387809064,45.89851170368196
20/08/2023,false,3.9124872519412217,621.9752257534624,361.2666895845778,49.810998955623184
21/08/2023,false,4.033422383674201,678.7357137084578,389.1475253470752,53.844421339297384
22/08/2023,false,4.046428350721451,732.5193992172232,417.4704145153623,57.89084969001883
23/08/2023,false,3.8113017524578843,782.0499163333088,445.0950315533137,61.70215144247672
24/08/2023,false,3.4924425353823323,831.6813811515626,472.904871070191,65.19459397785906
25/08/2023,false,3.1559486709074087,876.2840298889198,500.1991193331903,68.35054264876646
26/08/2023,false,4.065839552264286,927.256005657587,527.356985687953,72.41638220103076
27/08/2023,false,3.995197446451432,986.1094028543187,555.1728122641108,76.41157964748218
28/08/2023,false,3.9466984509533383,1044.001121305517,583.3989803135244,80.35827809843552
29/08/2023,false,4.036760820988907,1097.0219857078666,610.934673727395,84.39503891942442
30/08/2023,false,4.05073037056858,1151.3694694807582,638.1776764618357,88.445769289993
31/08/2023,false,3.6911062604466234,1204.8398894374131,666.1343417638964,92.13687555043961
01/09/2023,false,3.4800837507340017,1237.5788634250976,693.7395922078638,95.61695930117361
02/09/2023,false,3.034960919413415,1268.9421571463965,720.8996806026486,98.65192022058703
03/09/2023,false,2.934171598183069,1297.1337149248618,748.4951783107795,101.5860918187701
04/09/2023,false,3.7066348831556866,1332.071778941113,775.2448718144457,105.29272670192579
05/09/2023,false,3.4685485494323576,1369.058894394673,802.7528500401924,108.76127525135814
06/09/2023,false,3.684383525222076,1403.5383866079537,829.4501795760214,112.44565877658022
07/09/2023,false,3.5967241415612605,1438.3746554891202,856.9088192002991,116.04238291814147
08/09/2023,false,3.8449838720351335,1475.6901073413835,885.114467611916,119.8873667901766
09/09/2023,false,3.6214923185446275,1513.0157225471469,911.8255732967477,123.50885910872123
10/09/2023,false,3.4019708459260842,1546.8294867850886,938.8762232480058,126.91082995464731
11/09/2023,false,3.133704005168098,1578.5793794143833,966.0172962266047,130.0445339598154
12/09/2023,false,2.912770880741501,1608.620257870275,993.0290280776546,132.9573048405569
13/09/2023,false,2.8340382361304264,1639.1810140193224,1020.7795587879467,135.79134307668733
14/09/2023,false,2.62438479441753,1665.4255945102993,1048.347737965182,138.41572787110485
15/09/2023,false,2.5644997659796687,1691.7715084274346,1075.8518420739726,140.9802276370845
16/09/2023,false,2.4072801959752934,1714.840537994643,1102.902725642011,143.3875078330598
17/09/2023,false,2.145576952519357,1736.6685316931416,1130.0570385058331,145.53308478557915
18/09/2023,false,3.582321351064545,1770.9053767554808,1156.5630468847557,149.11540613664368
19/09/2023,false,3.864403840010732,1806.4615337160535,1183.660191996595,152.97980997665442
20/09/2023,false,3.5573804820628694,1839.7202062819945,1210.2640341511167,156.5371904587173
21/09/2023,false,3.3841549451239956,1873.2389629934958,1237.5521825958558,159.92134540384131
22/09/2023,false,3.639836993705537,1907.091718719225,1265.064154575909,163.56118239754684
23/09/2023,false,3.451897428903353,1942.3979961785922,1291.6622951886657,167.0130798264502
24/09/2023,false,3.6854282115394756,1981.1869090494797,1318.9355605900062,170.69850803798968
25/09/2023,false,3.5418779400401275,2015.271850465803,1346.6177840594446,174.24038597802982
26/09/2023,false,3.4011483111282557,2047.1382180586095,1373.9340121695357,177.64153428915807
27/09/2023,false,3.5582032619788344,2085.025691416145,1401.2761052528435,181.1997375511369
28/09/2023,false,3.590284652917373,2121.3840699184098,1428.664686044278,184.79002220405428
29/09/2023,false,3.723888398028016,2158.08652076465,1455.848196203426,188.5139106020823
30/09/2023,false,3.5814684829283707,2191.7210903758723,1482.80833377595,192.09537908501065
01/10/2023,false,3.24962712042198,2210.585717582968,1509.7053493396345,195.34500620543264
02/10/2023,false,3.259438060615797,2229.3204182211416,1537.1301082980756,198.60444426604843
03/10/2023,false,3.1253635614726063,2247.411716685393,1563.7093292632308,201.72980782752103
04/10/2023,false,3.9505943576398352,2268.941946564591,1590.8303204914494,205.68040218516086
05/10/2023,false,3.719618230527247,2290.666143443759,1617.5042758925538,209.40002041568812
06/10/2023,false,3.8768762312127523,2311.1702111055247,1644.5658529440127,213.27689664690087
07/10/2023,false,3.880269941456726,2331.7464308324193,1671.7917715073752,217.1571665883576
08/10/2023,false,3.3911644808118226,2351.3709053515613,1698.2365228019219,220.54833106916942
09/10/2023,false,3.188537616680928,2370.9830230480484,1724.943931645633,223.73686868585034
10/10/2023,false,3.1284788081866695,2387.6565756586633,1751.9392139011438,226.865347494037
11/10/2023,false,2.898890626048689,2403.747133007216,1779.2466788095956,229.76423812008568
