date,disease,evapotranspiration,agb,cumulatedTemperature,cumulatedEvapotranspiration
02/01/2022,false,4.0177216820895625,0.0,26.697347369831583,4.0177216820895625
03/01/2022,false,4.193948288188844,6.233159702842872,53.549475752864524,8.211669970278408
04/01/2022,false,4.061192189021237,11.710548517097791,80.20708602636046,12.272862159299645
05/01/2022,false,3.9132638077192867,18.334378512810396,106.69239527744732,16.18612596701893
06/01/2022,false,4.17927709612455,24.346707100100787,133.544788103685,20.365403063143482
07/01/2022,false,4.280856050075758,30.42686293927352,159.56718805533345,24.64625911321924
08/01/2022,false,3.978380672220673,36.28972685410358,186.9693026380829,28.624639785439914
09/01/2022,false,3.7195310303092395,41.91624480540856,214.27931600892407,32.34417081574915
10/01/2022,false,3.635533676607385,47.15473153548861,241.7641312520783,35.97970449235654
11/01/2022,false,4.202878051870977,52.94660628090068,269.1493518412935,40.182582544227515
12/01/2022,false,4.064403607722326,58.95678639620096,296.0318652221521,44.24698615194984
13/01/2022,false,4.12160758951395,64.77282172845518,324.18671801874393,48.36859374146379
14/01/2022,false,4.137733193385937,70.21578772452015,351.56741018718,52.506326934849724
15/01/2022,false,3.7729506023292,75.70738043770339,378.49177451169487,56.27927753717893
16/01/2022,false,3.4656801760295464,81.12288855640267,405.2717028611339,59.74495771320847
17/01/2022,false,3.332440200185049,85.81103585977543,432.5542434530101,63.07739791339352
18/01/2022,false,3.1588745013702573,90.19828649027795,460.19384990080573,66.23627241476377
19/01/2022,false,3.100763929955882,94.2008181240967,487.87296351970133,69.33703634471965
20/01/2022,false,2.786717097266856,98.20035799738113,514.2241727110888,72.12375344198651
21/01/2022,false,2.591094739374399,101.90994192319664,541.5884038620694,74.7148481813609
22/01/2022,false,2.5386600375120816,105.6089330620484,569.0927162847505,77.253508218873
23/01/2022,false,4.111653838748569,111.2151478055957,596.2054311642813,81.36516205762156
24/01/2022,false,4.2012451681449825,117.22332495260439,622.9929316030409,85.56640722576654
25/01/2022,false,4.057353498796063,122.90390790298754,649.6616020515746,89.6237607245626
26/01/2022,false,4.122546101885925,129.01769179571704,676.2702779485459,93.74630682644853
27/01/2022,false,3.9777701186599224,134.56666972158732,703.259483573346,97.72407694510845
28/01/2022,false,4.055851803727344,140.23308555363417,730.6465089359139,101.7799287488358
29/01/2022,false,4.1502610821237935,146.03851842341697,757.9908897196452,105.93018983095959
30/01/2022,false,3.9532085414207105,151.82067409046914,785.5772647915879,109.8833983723803
31/01/2022,false,3.7912607012441057,157.2787548630989,812.6035408308528,113.67465907362441
01/02/2022,false,3.7800974760431743,169.94706726284886,840.1248597429578,117.4547565496676
02/02/2022,false,4.108761596201618,183.37399969901978,866.8886311548381,121.56351814586921
03/02/2022,false,4.030255336180376,198.12300094552137,894.6271638526998,125.59377348204958
04/02/2022,false,4.093989297458875,212.92438953096683,922.2120703375729,129.68776277950846
05/02/2022,false,4.093424835838171,226.81725469613008,950.1515429474131,133.78118761534662
06/02/2022,false,4.047998172253755,242.7996732053435,977.894010586689,137.82918578760038
07/02/2022,false,4.381114325686737,257.7049980608202,1005.3981264608233,142.2103001132871
08/02/2022,false,4.238017163825001,272.10425164525964,1033.2702126854556,146.4483172771121
09/02/2022,false,3.7819612224623955,284.5946854860339,1061.3539568709123,150.2302784995745
10/02/2022,false,4.123781693849922,299.1561761193932,1088.6786486822589,154.35406019342443
11/02/2022,false,4.081903968863168,313.37793021502154,1116.7678245289803,158.4359641622876
12/02/2022,false,4.053383291344368,326.62328373247107,1143.957321936533,162.48934745363198
13/02/2022,false,3.9260666028522997,340.57882207103876,1172.0818292998938,166.41541405648428
14/02/2022,false,4.35454996298617,354.1741525942509,1199.463018410975,170.76996401947045
15/02/2022,false,4.111360486458103,369.93586199297977,1227.3304600800955,174.88132450592855
16/02/2022,false,4.065725671465651,383.46966723629794,1254.8859584155011,178.9470501773942
17/02/2022,false,3.962745575383632,398.195813610082,1281.9676098461428,182.90979575277782
18/02/2022,false,4.341793620769715,412.12773832288724,1309.9461150823588,187.25158937354755
19/02/2022,false,4.186753526277661,426.7681109324293,1337.8290665045595,191.43834289982522
20/02/2022,false,4.1647383886911715,439.46707153085356,1365.6255957363053,195.6030812885164
21/02/2022,false,4.0321506277162165,452.4082103408327,1393.7535769652177,199.6352319162326
22/02/2022,false,3.7310308100733964,464.60579933809845,1421.6773177128546,203.36626272630602
23/02/2022,false,3.505830508290106,476.6550246762135,1449.956182529002,206.87209323459612
24/02/2022,false,3.142536662628922,487.17038977979377,1476.699041903106,210.01462989722503
25/02/2022,false,4.538265381334657,500.8942638013558,1504.8367244262488,214.5528952785597
26/02/2022,false,4.549426627052707,515.886961432573,1532.5289229699608,219.1023219056124
27/02/2022,false,4.235078109885575,528.892500552599,1560.2344101352837,223.33740001549796
28/02/2022,false,3.9122024219033564,542.9366985798825,1587.5789925430208,227.2496024374013
01/03/2022,false,5.1576485876800415,576.3166347337567,1615.7588809052238,232.40725102508134
02/03/2022,false,4.5388542978762585,610.5518064612476,1643.7590939286863,236.9461053229576
03/03/2022,false,4.323860773683858,638.0516750412764,1672.023546724381,241.26996609664147
04/03/2022,false,4.766350208607079,668.9519540857494,1699.8726250605378,246.03631630524853
05/03/2022,false,4.520830750058182,699.8053598573354,1727.0325223017928,250.55714705530673
06/03/2022,false,4.363924041070582,728.1922673100066,1754.632842186542,254.92107109637732
07/03/2022,false,3.9546037301794303,756.131952725434,1782.5595743304627,258.87567482655675
08/03/2022,false,3.676334228374811,781.739930719109,1810.3152003992961,262.55200905493155
